Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2022-09-11,@ CHI,0,0,SFO vs. CHI,CHI,1500.0,19,SFO,1500.0,10,1,9
2022-09-18,@ GNB,1,0,CHI vs. GNB,GNB,1450.0,27,CHI,1550.0,10,1,17
2022-09-25,@ CHI,0,0,HOU vs. CHI,CHI,1485.9935000197115,23,HOU,1400.0,20,1,3
2022-10-02,@ NYG,0,0,CHI vs. NYG,NYG,1523.864708082735,20,CHI,1523.864708082735,12,1,8
2022-10-09,@ MIN,1,0,CHI vs. MIN,MIN,1586.1545913261243,29,CHI,1473.864708082735,22,1,7
2022-10-13,@ CHI,0,0,WAS vs. CHI,CHI,1439.4844148124614,7,WAS,1380.7777269234243,12,0,-5
2022-10-24,@ NWE,0,0,CHI vs. NWE,NWE,1517.9896523517716,14,CHI,1381.1153415234983,33,0,-19
2022-10-30,@ DAL,0,0,CHI vs. DAL,DAL,1612.1050976258866,49,CHI,1449.8536207907903,29,1,20
2022-11-06,@ CHI,0,0,MIA vs. CHI,CHI,1421.642120382313,32,MIA,1547.9718654638782,35,0,-3
2022-11-13,@ CHI,1,0,DET vs. CHI,CHI,1389.0614474222168,30,DET,1378.341789960509,31,0,-1
2022-11-27,@ NYJ,0,0,CHI vs. NYJ,NYJ,1563.9955062695649,31,CHI,1296.5755939520868,10,1,21
2022-12-04,@ CHI,1,0,GNB vs. CHI,CHI,1550.0,19,GNB,1450.0,28,0,-9
2022-12-18,@ CHI,0,0,PHI vs. CHI,CHI,1245.1823185662693,20,PHI,1763.1609501320168,25,0,-5
2023-01-01,@ DET,1,0,CHI vs. DET,DET,1378.341789960509,41,CHI,1389.0614474222168,10,1,31
2023-01-08,@ CHI,1,0,MIN vs. CHI,CHI,1473.864708082735,13,MIN,1586.1545913261243,29,0,-16
2022-09-11,@ CIN,1,0,PIT vs. CIN,CIN,1500.0,20,PIT,1500.0,23,0,-3
2022-09-18,@ DAL,0,0,CIN vs. DAL,DAL,1450.0,20,CIN,1450.0,17,1,3
2022-09-25,@ NYJ,0,0,CIN vs. NYJ,NYJ,1514.0064999802885,12,CIN,1400.0,27,0,-15
2022-09-29,@ CIN,0,0,MIA vs. CIN,CIN,1465.842293610764,27,MIA,1647.9853938919734,15,1,12
2022-10-16,@ NOR,0,0,CIN vs. NOR,NOR,1464.4422151126294,26,CIN,1484.1752903424444,30,0,-4
2022-10-31,@ CLE,1,0,CIN vs. CLE,CLE,1352.1980646837237,32,CIN,1581.2006405979894,13,1,19
2022-11-20,@ PIT,1,0,CIN vs. PIT,PIT,1500.0,30,CIN,1500.0,37,0,-7
2022-11-27,@ TEN,0,0,CIN vs. TEN,TEN,1622.9033341027946,16,CIN,1570.3666405244899,20,0,-4
2022-12-04,@ CIN,0,0,KAN vs. CIN,CIN,1627.8701752922768,27,KAN,1704.9558691836462,24,1,3
2022-12-11,@ CIN,1,0,CLE vs. CIN,CIN,1581.2006405979894,23,CLE,1352.1980646837237,10,1,13
2022-12-18,@ TAM,0,0,CIN vs. TAM,TAM,1454.9379803532013,23,CIN,1710.9808031716934,34,0,-11
2022-12-24,@ NWE,0,0,CIN vs. NWE,NWE,1494.5240613856668,18,CIN,1729.6158441814816,22,0,-4
2023-01-29,@ KAN,0,1,CIN vs. KAN,KAN,1751.4138613625648,23,CIN,1835.219640514508,20,1,3
2022-09-18,@ CLE,0,0,NYJ vs. CLE,CLE,1550.0,30,NYJ,1450.0,31,0,-1
2022-09-22,@ CLE,1,0,PIT vs. CLE,CLE,1485.9935000197115,29,PIT,1485.9935000197115,17,1,12
2022-10-09,@ CLE,0,0,LAC vs. CLE,CLE,1475.5208242045942,28,LAC,1487.61722039894,30,0,-2
2022-10-16,@ CLE,0,0,NWE vs. CLE,CLE,1427.2609325064973,15,NWE,1474.7868370829972,38,0,-23
2022-11-13,@ MIA,0,0,CLE vs. MIA,MIA,1580.5525384239743,39,CLE,1431.0870184580854,17,1,22
2022-11-27,@ CLE,0,0,TAM vs. CLE,CLE,1375.0749450074195,23,TAM,1507.074574389677,17,1,6
2022-12-04,@ HOU,0,0,CLE vs. HOU,HOU,1276.3997862620095,14,CLE,1443.2070822021246,27,0,-13
2022-12-24,@ CLE,0,0,NOR vs. CLE,CLE,1520.010684635226,10,NOR,1386.6087215252487,17,0,-7
2023-01-01,@ WAS,0,0,CLE vs. WAS,WAS,1483.6700559455198,10,CLE,1451.7035327698827,24,0,-14
2023-01-08,@ PIT,1,0,CLE vs. PIT,PIT,1485.9935000197115,28,CLE,1485.9935000197115,14,1,14
2022-09-11,@ DAL,0,0,TAM vs. DAL,DAL,1500.0,3,TAM,1500.0,19,0,-16
2022-09-26,@ NYG,1,0,DAL vs. NYG,NYG,1585.9935000197115,16,DAL,1500.0,23,0,-7
